CODI_CAPA,NOM_CAPA_CAT,NOM_CAPA_CAST,NOM_CAPA_ANG,COORD_X,COORD_Y,EQUIPAMENT,TELEFON,ADRECA
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,428112.101,4584396.326,C. Balmes. 389-395 (Pl. Joaquim Folguera) - places: 10-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,428209.141,4579107.335,C. Alts Forns. 60 (cantonada Pg. Zona Franca) - places: 6-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,428242.093,4585381.326,C. Esteve Terrades. 30 - places: 9-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,428276.082,4586792.324,Pg. Vall d'Hebron. 119 (H. TRAUM. I REHAB.) - places: 2-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,428312.123,4581420.332,Pl. Països Catalans. 1 (davant Av. roma) - places: 8-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,428339.118,4582031.332,C. Equador. 8 (C/ Berlín. 80) - places: 6-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,428351.114,4582563.331,C. Loreto. 19 - places: 3-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,428365.123,4581459.333,Av. Roma. 2-4 - places: 3-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,428381.113,4582674.331,Pl. Doctor Ignasi Barraquer. 1 (Av. Sarrià) - places: 8-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,428433.123,4581419.333,C. Mallorca. 23 (cantonada c/ Tarragona) - places: 6-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,428442.082,4586745.325,Pg. Vall d'Hebron. 119-129 (H. GENERAL) - places: 10-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,428451.144,4578630.338,Pg. Zona Franca. 54-56 aprox. (cantonada C/ Cisell) - places: 4-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,428462.094,4585275.327,Av. Vallcarca (de). 151-163 - places: 10-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,428589.094,4585203.328,Pl. Mons. 4 - places: 2-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,428630.111,4582893.332,Pl. Francesc Macià. 10-11 (davant General Optica) - places: 8-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,428652.115,4582464.333,C. Viladomat. 288-302 (c/ París) - places: 7-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,428689.112,4582764.333,C. Comte d'Urgell. 251 aprox.  (cantonada c/ Buenos Aires) - places: 6-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,428730.107,4583402.332,C. Laforja. 92-94 (C/Muntaner) - places: 6-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,428730.131,4580313.337,Av. Marqués de Comillas. 16-36 - places: 3-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,428764.11,4583078.333,Travessera de Gràcia. 22-26 (xamfrà C/ Casanova) - places: 6-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,428838.076,4587464.327,C. Berruguete. 126 (c/ Arquitecte Moragas) - places: 6-,,
