Codigo linea;Descripcion linea;Sentido;Numero parada;Codigo parada;Parada;Zona;Correspondencias
28;URIBARRI - ALTAMIRA;URIBARRI - ALTAMIRA;12;6114;Gran Vía 36;Gran Via-Metro Moyua;A7,01,10,26,56,72,77
28;URIBARRI - ALTAMIRA;URIBARRI - ALTAMIRA;13;6116;Gran Vía 40;Gran Via-G. Civil;26,27,38,48,56,72,77
28;URIBARRI - ALTAMIRA;URIBARRI - ALTAMIRA;14;6211;Gregorio la Revilla 2;Gregorio de la Revilla-Pl. Campuzano;26,27,38,48,72,77
28;URIBARRI - ALTAMIRA;URIBARRI - ALTAMIRA;15;6212;Gregorio la Revilla 22;Gregorio de la Revilla-Part.Indautxu;26,27,38,48,72,77
28;URIBARRI - ALTAMIRA;URIBARRI - ALTAMIRA;16;6221;Urquijo 68;Al. Urquijo-Cruz Roja;26,62
28;URIBARRI - ALTAMIRA;URIBARRI - ALTAMIRA;17;6222;Urquijo 94;Al. Urquijo-Sabino Arana;26,62
28;URIBARRI - ALTAMIRA;URIBARRI - ALTAMIRA;18;8127;Sabino Arana 34;Zorrotza-Kastrexana-Stop;28RF
28;URIBARRI - ALTAMIRA;URIBARRI - ALTAMIRA;19;8122;Basurto / Briñas;Basurtu-Kastrexana;18,38,48,57,58,80,85,88
28;URIBARRI - ALTAMIRA;URIBARRI - ALTAMIRA;20;8114;Ospitalea;Av. Montevideo-Hospital;48,57,58,80
28;URIBARRI - ALTAMIRA;URIBARRI - ALTAMIRA;21;8105;Basurtu-Kastrexana (65);Basurtu-Kastrexana-Bentazarra;58,80
28;URIBARRI - ALTAMIRA;URIBARRI - ALTAMIRA;22;8401;Basurtu-Kastrexana (123) / Albergue;Basurtu-Kastrexana;58,80
28;URIBARRI - ALTAMIRA;URIBARRI - ALTAMIRA;23;8602;Basurtu-Kastrexana / (Altamira);Bº Altamira-Entrada;58,80
28;URIBARRI - ALTAMIRA;URIBARRI - ALTAMIRA;24;8601;Altamira;Bº Altamira;28RF,58,80
28;URIBARRI - ALTAMIRA;ALTAMIRA - URIBARRI;1;8601;Altamira;Bº Altamira;28RF,58,80
28;URIBARRI - ALTAMIRA;ALTAMIRA - URIBARRI;2;8402;Basurtu-Kastrexana / Altamira;Bº Altamira;58,80
28;URIBARRI - ALTAMIRA;ALTAMIRA - URIBARRI;3;8403;Basurtu-Kastrexana 123;Basurtu-Kastrexana;58,80
28;URIBARRI - ALTAMIRA;ALTAMIRA - URIBARRI;4;8106;Basurtu-Kastrexana 63;Basurtu-Kastrexana-Bentazarra;58,80
28;URIBARRI - ALTAMIRA;ALTAMIRA - URIBARRI;5;8107;Gurtubay / Ospitalea;Av. Montevideo-Hospital;38,80
28;URIBARRI - ALTAMIRA;ALTAMIRA - URIBARRI;6;8128;Luis Briñas 27;Autonomia-Escuelas;
28;URIBARRI - ALTAMIRA;ALTAMIRA - URIBARRI;7;6217;Jesusen Bihotza 1;Pl. Sgdo. Corazon de Jesus;A3,2628RF,56,62
28;URIBARRI - ALTAMIRA;ALTAMIRA - URIBARRI;8;6208;Gran Vía 63;Gran Via-Insalud;A3,26,56,62
28;URIBARRI - ALTAMIRA;ALTAMIRA - URIBARRI;9;6206;Gran Vía 43;Gran Via-Edif. Sota;A3,26,56,62,72,76,77
28;URIBARRI - ALTAMIRA;ALTAMIRA - URIBARRI;10;6115;Gran Vía 37;Gran Via-Metro Moyua;01,10,26,56,62,72,77
28;URIBARRI - ALTAMIRA;ALTAMIRA - URIBARRI;11;6113;Gran Vía 7;Gran Via-Corte Ingles;A5,01,10,26,56,62,72,77
28;URIBARRI - ALTAMIRA;ALTAMIRA - URIBARRI;12;2108;Ernesto Erkoreka / Udaletxea;Campo Volantin-Ayuntamiento;11,22,26,71,72,77
28;URIBARRI - ALTAMIRA;ALTAMIRA - URIBARRI;13;2104;Campo Volantín 13;Campo Volantin-Hotel Nervion;22,26,72,77
28;URIBARRI - ALTAMIRA;ALTAMIRA - URIBARRI;14;2206;Tiboli 12;Castaños-Tiboli;22,26,72
28;URIBARRI - ALTAMIRA;ALTAMIRA - URIBARRI;15;2205;Ricardo Arregui 33;Tiboli-Ricardo Arregui;22,26
28;URIBARRI - ALTAMIRA;ALTAMIRA - URIBARRI;16;2409;Trauko (5);Uribarri-Trauko;22,26
28;URIBARRI - ALTAMIRA;ALTAMIRA - URIBARRI;17;2416;Trauko 14;Zumalacarregui-Grupo Panera;26
28;URIBARRI - ALTAMIRA;ALTAMIRA - URIBARRI;18;2408;San Balentin Berriotxoa (1);Trauko-Grupo Panera;2628RF
30;TXURDINAGA - MIRIBILLA;Txurdinaga - Miribilla;1;3205;Fernando Jiménez 12;F. Jimenez Miembro DYA;
30;TXURDINAGA - MIRIBILLA;Txurdinaga - Miribilla;2;3220;Julián Gaiarre 36;Julian Gaiarre-Ondarroa;13
30;TXURDINAGA - MIRIBILLA;Txurdinaga - Miribilla;3;3223;Julián Gaiarre 82;Julian Gaiarre-Artalandio;13
30;TXURDINAGA - MIRIBILLA;Txurdinaga - Miribilla;4;3201;Artalandio 3 / Dr.Ornilla;Txomin Garat-Residencia;13,38
30;TXURDINAGA - MIRIBILLA;Txurdinaga - Miribilla;5;3228;Txomin Garat 9 / Anbulatorioa;Txomin Garat-Ambulatorio;13,38
30;TXURDINAGA - MIRIBILLA;Txurdinaga - Miribilla;6;3229;Zabalbide (61);Txomin Garat-La Tortilla;13,38
30;TXURDINAGA - MIRIBILLA;Txurdinaga - Miribilla;7;2504;San Isidro;San Isidro;A7,13,22,27,38,62
30;TXURDINAGA - MIRIBILLA;Txurdinaga - Miribilla;8;2508;Zumalacárregui 105;Zumalacarregui-Parque;A1,A5,A7,13,22,27,38,48,62
30;TXURDINAGA - MIRIBILLA;Txurdinaga - Miribilla;9;2415;Zumalacárregui / T.Zubiria;Zumalacarregui-Grupo Panera;A1,A5,A7,03,22,26,28,62
30;TXURDINAGA - MIRIBILLA;Txurdinaga - Miribilla;10;2202;Kristo 1;Pl. Ernesto Erkoreka;A1,A5,A7,03,22,62
30;TXURDINAGA - MIRIBILLA;Txurdinaga - Miribilla;11;5108;Sendeja (5);Sendeja-Tinglados;A1,A7,03,11,22,26,28,71,72,77
30;TXURDINAGA - MIRIBILLA;Txurdinaga - Miribilla;12;5105;Puente del Arenal;Puente de el Arenal;A1,A2,A7,03,26,28,40,56,58,71,72,75,77,85
30;TXURDINAGA - MIRIBILLA;Txurdinaga - Miribilla;13;6119;Hurtado Amézaga 2 / (Geltokia-Estación);Hurtado de Amezaga-Estacion Abando;58,71,75,85
30;TXURDINAGA - MIRIBILLA;Txurdinaga - Miribilla;14;6121;Hurtado Amézaga 50;Hurtado de Amezaga-Lutxana;E1,E2,E3,71
30;TXURDINAGA - MIRIBILLA;Txurdinaga - Miribilla;15;5801;Dr. Fleming 1;Zabala;
30;TXURDINAGA - MIRIBILLA;Txurdinaga - Miribilla;16;5806;Zabala 22;Zabala;
30;TXURDINAGA - MIRIBILLA;Txurdinaga - Miribilla;17;5916;Xenpelar / Trav.Zabala;Zabala;
30;TXURDINAGA - MIRIBILLA;Txurdinaga - Miribilla;18;5902;Gernika 10;Miribilla;57
30;TXURDINAGA - MIRIBILLA;Txurdinaga - Miribilla;19;5905;Gernika 24;Miribilla;E2,E3,57
30;TXURDINAGA - MIRIBILLA;Txurdinaga - Miribilla;20;5904;Gernika 23;Miribilla;E2,E3,57,71
30;TXURDINAGA - MIRIBILLA;Miribilla - Txurdinaga;1;5904;Gernika 23;Miribilla;E2,E3,57,71
30;TXURDINAGA - MIRIBILLA;Miribilla - Txurdinaga;2;5903;Gernika 11;Miribilla;57
30;TXURDINAGA - MIRIBILLA;Miribilla - Txurdinaga;3;5917;Askatasuna / Gortazar;;E3
30;TXURDINAGA - MIRIBILLA;Miribilla - Txurdinaga;4;5901;Gernika 1;Miribilla;57
30;TXURDINAGA - MIRIBILLA;Miribilla - Txurdinaga;5;5805;Xenpelar / Zabala;Zabala;
30;TXURDINAGA - MIRIBILLA;Miribilla - Txurdinaga;6;5802;Juan de Garay 11;Juan de Garay-Gobierno Militar;71,75,76
30;TXURDINAGA - MIRIBILLA;Miribilla - Txurdinaga;7;6123;Juan de Garay 7;Juan de Garay-General Salazar;71,75,76
30;TXURDINAGA - MIRIBILLA;Miribilla - Txurdinaga;8;6120;Hurtado Amézaga 15;Hurtado de Amezaga-Quinta Parroquia;E1,E2,71,75,85
30;TXURDINAGA - MIRIBILLA;Miribilla - Txurdinaga;9;6126;Plaza Biribila / Gran Vía;Pl. Biribila-La Granja;A2,03,40
30;TXURDINAGA - MIRIBILLA;Miribilla - Txurdinaga;10;5103;Ernesto Erkoreka 8;Pl. Ernesto Erkoreka;A1,03,40,62
30;TXURDINAGA - MIRIBILLA;Miribilla - Txurdinaga;11;5111;Zumalacárregui / (T.Zubiria);Zumalacarregui-Grupo Panera;A1,03,40,62
30;TXURDINAGA - MIRIBILLA;Miribilla - Txurdinaga;12;4109;Zumalacárregui 38;Zumalacarregui-Parque;03,13,38
30;TXURDINAGA - MIRIBILLA;Miribilla - Txurdinaga;13;4104;Begoñako Basilika;Basilica de Begoña;03,38
30;TXURDINAGA - MIRIBILLA;Miribilla - Txurdinaga;14;3226;Txomin Garat 4;Txomin Garat-La Tortilla;38
30;TXURDINAGA - MIRIBILLA;Miribilla - Txurdinaga;15;3225;Txomin Garat 12 / (Anbulatorioa);Txomin Garat-Ambulatorio;
30;TXURDINAGA - MIRIBILLA;Miribilla - Txurdinaga;16;3227;Txomin Garat 40 / Residencia;Txomin Garat-Residencia;
30;TXURDINAGA - MIRIBILLA;Miribilla - Txurdinaga;17;3219;Julián Gaiarre 33 / Artalandio;Julian Gaiarre-Artalandio;
30;TXURDINAGA - MIRIBILLA;Miribilla - Txurdinaga;18;3224;Ondarroa / Parkea;Julian Gaiarre-Ondarroa;
30;TXURDINAGA - MIRIBILLA;Miribilla - Txurdinaga;19;3205;Fernando Jiménez 12;F. Jimenez Miembro DYA;
34;OTXARKOAGA - SANTUTXU;Otxarkoaga - Santutxu;1;3106;Larratundu 21;Larratundu-Otxarkoaga;03
34;OTXARKOAGA - SANTUTXU;Otxarkoaga - Santutxu;2;3103;Kepa Enbeita "Urretxindorra";Pl. Kepa Enbeita-Iglesia;03
34;OTXARKOAGA - SANTUTXU;Otxarkoaga - Santutxu;3;3222;Julián Gaiarre 61;Julian Gaiarre-Centro Civico;38,43
34;OTXARKOAGA - SANTUTXU;Otxarkoaga - Santutxu;4;3221;Julián Gaiarre 39 / Artalandio;Julian Gaiarre-Artalandio;38,43
34;OTXARKOAGA - SANTUTXU;Otxarkoaga - Santutxu;5;3218;Julián Gaiarre 23;Julian Gaiarre-Ondarroa;43
34;OTXARKOAGA - SANTUTXU;Otxarkoaga - Santutxu;6;3216;Julián Gaiarre (6);Julian Gaiarre-DYA;43
34;OTXARKOAGA - SANTUTXU;Otxarkoaga - Santutxu;7;4202;Circo Amateur / Kiroldegia;Club Deportivo;13,43
34;OTXARKOAGA - SANTUTXU;Otxarkoaga - Santutxu;8;4208;Iturriaga 58 / L. Briñas Eskola;Iturriaga-Colg. Luis Briñas;43,48
34;OTXARKOAGA - SANTUTXU;Otxarkoaga - Santutxu;9;4203;Enrique Ibarreta 2;Mazustegi-Zabalbide;43
34;OTXARKOAGA - SANTUTXU;Santutxu - Otxarkoaga;1;4203;Enrique Ibarreta 2;Mazustegi-Zabalbide;43
34;OTXARKOAGA - SANTUTXU;Santutxu - Otxarkoaga;2;3202;Dr. Ornilla (12);Dr. Ornilla-Comisaria Ertzaintza;43
34;OTXARKOAGA - SANTUTXU;Santutxu - Otxarkoaga;3;3203;Dr. Ornilla / Artalandio;Jesus Galindez-Dr. Ornilla;43
34;OTXARKOAGA - SANTUTXU;Santutxu - Otxarkoaga;4;3204;Dr. Ornilla / Pau Casals;Jesus Galindez-Dr. Ornilla;03,38,43
34;OTXARKOAGA - SANTUTXU;Santutxu - Otxarkoaga;5;3109;Pau Casals 16;Pl. Kepa Enbeita-Iglesia;38,43
34;OTXARKOAGA - SANTUTXU;Santutxu - Otxarkoaga;6;3107;Pau Casals (21) / C.Cívico;Julian Gaiarre-Centro Civico;
34;OTXARKOAGA - SANTUTXU;Santutxu - Otxarkoaga;7;3104;Langaran (3) / Merkatua;Pl. Langaran-Fte. Mercado;
34;OTXARKOAGA - SANTUTXU;Santutxu - Otxarkoaga;8;3110;Txotena / Langaran;Txotena 20;
34;OTXARKOAGA - SANTUTXU;Santutxu - Otxarkoaga;9;3112;Txotena 8;Txotena-Colg. Azkarai;
34;OTXARKOAGA - SANTUTXU;Santutxu - Otxarkoaga;10;3111;Txotena 62;Txotena 62;
34;OTXARKOAGA - SANTUTXU;Santutxu - Otxarkoaga;11;3105;Langaran 44;Langaran 44;
34;OTXARKOAGA - SANTUTXU;Santutxu - Otxarkoaga;12;3106;Larratundu 21;Larratundu-Otxarkoaga;03
38;OTXARKOAGA - BASURTU/TERMIBUS;Otxarkoaga - Basurtu/Termibus obras;1;3222;Julián Gaiarre 61;Julian Gaiarre-Centro Civico;34,43
38;OTXARKOAGA - BASURTU/TERMIBUS;Otxarkoaga - Basurtu/Termibus obras;2;3221;Julián Gaiarre 39 / Artalandio;Julian Gaiarre-Artalandio;34,43
38;OTXARKOAGA - BASURTU/TERMIBUS;Otxarkoaga - Basurtu/Termibus obras;3;3201;Artalandio 3 / Dr.Ornilla;Txomin Garat-Residencia;13,30
38;OTXARKOAGA - BASURTU/TERMIBUS;Otxarkoaga - Basurtu/Termibus obras;4;3228;Txomin Garat 9 / Anbulatorioa;Txomin Garat-Ambulatorio;13,30
38;OTXARKOAGA - BASURTU/TERMIBUS;Otxarkoaga - Basurtu/Termibus obras;5;3229;Zabalbide (61);Txomin Garat-La Tortilla;13,30
38;OTXARKOAGA - BASURTU/TERMIBUS;Otxarkoaga - Basurtu/Termibus obras;6;2504;San Isidro;San Isidro;A7,13,22,27,30,62
38;OTXARKOAGA - BASURTU/TERMIBUS;Otxarkoaga - Basurtu/Termibus obras;7;2508;Zumalacárregui 105;Zumalacarregui-Parque;A1,A5,A7,13,22,27,30,48,62
38;OTXARKOAGA - BASURTU/TERMIBUS;Otxarkoaga - Basurtu/Termibus obras;8;2503;Artzain Onaren 4;Maurice Ravel-Zumaia;13,27,48
38;OTXARKOAGA - BASURTU/TERMIBUS;Otxarkoaga - Basurtu/Termibus obras;9;2405;Maurice Ravel 20 / Telefónica;Maurice Ravel-Telefonica;13,27,48
38;OTXARKOAGA - BASURTU/TERMIBUS;Otxarkoaga - Basurtu/Termibus obras;10;2404;Maurice Ravel / Mirador;Maurice Ravel-Ciudad Jardin;13,27,48
38;OTXARKOAGA - BASURTU/TERMIBUS;Otxarkoaga - Basurtu/Termibus obras;11;2301;Maurice Ravel / C.Jardín;Maurice Ravel-Ciudad Jardin;13,27,48
38;OTXARKOAGA - BASURTU/TERMIBUS;Otxarkoaga - Basurtu/Termibus obras;12;6102;Alda Recalde 12;Al. Recalde-Puente La Salve;13,27,48
38;OTXARKOAGA - BASURTU/TERMIBUS;Otxarkoaga - Basurtu/Termibus obras;13;6116;Gran Vía 40;Gran Via-G. Civil;26,27,28,48,56,72,77
38;OTXARKOAGA - BASURTU/TERMIBUS;Otxarkoaga - Basurtu/Termibus obras;14;6211;Gregorio la Revilla 2;Gregorio de la Revilla-Pl. Campuzano;26,27,28,48,72,77
38;OTXARKOAGA - BASURTU/TERMIBUS;Otxarkoaga - Basurtu/Termibus obras;15;6212;Gregorio la Revilla 22;Gregorio de la Revilla-Part.Indautxu;26,27,28,48,72,77
38;OTXARKOAGA - BASURTU/TERMIBUS;Otxarkoaga - Basurtu/Termibus obras;16;6214;Gregorio la Revilla 36;Gregorio de la Revilla-Perez Galdos;27,48,72,77,88
38;OTXARKOAGA - BASURTU/TERMIBUS;Otxarkoaga - Basurtu/Termibus obras;17;6203;Autonomía 50;Autonomia-Escuelas;18,48,58,85,88
38;OTXARKOAGA - BASURTU/TERMIBUS;Otxarkoaga - Basurtu/Termibus obras;18;8122;Basurto / Briñas;Basurtu-Kastrexana;18,28,48,57,58,80,85,88
38;OTXARKOAGA - BASURTU/TERMIBUS;Otxarkoaga - Basurtu/Termibus obras;19;8107;Gurtubay / Ospitalea;Av. Montevideo-Hospital;28,80
38;OTXARKOAGA - BASURTU/TERMIBUS;Otxarkoaga - Basurtu/Termibus obras;20;8126;Termibús / Metro;Autonomia-Pl. Aita Donosti;80
38;OTXARKOAGA - BASURTU/TERMIBUS;Basurtu/Termibus - Otxarkoaga obras;1;8126;Termibús / Metro;Autonomia-Pl. Aita Donosti;80
38;OTXARKOAGA - BASURTU/TERMIBUS;Basurtu/Termibus - Otxarkoaga obras;2;8123;Basurto / Aita Donostia;Autonomia-Pl. Aita Donosti;18,48,57,58,85,88
38;OTXARKOAGA - BASURTU/TERMIBUS;Basurtu/Termibus - Otxarkoaga obras;3;7104;Autonomía 43;Autonomia-Escuelas;18,48,58,85,88
38;OTXARKOAGA - BASURTU/TERMIBUS;Basurtu/Termibus - Otxarkoaga obras;4;6213;Gregorio la Revilla 35;Gregorio de la Revilla-Perez Galdos;27,48,72,77,88
38;OTXARKOAGA - BASURTU/TERMIBUS;Basurtu/Termibus - Otxarkoaga obras;5;6210;Gregorio la Revilla 17;Gregorio de la Revilla-Part.Indautxu;27,48,72,76,77
38;OTXARKOAGA - BASURTU/TERMIBUS;Basurtu/Termibus - Otxarkoaga obras;6;6209;Gregorio la Revilla 1;Gregorio de la Revilla-Pl. Campuzano;27,48,72,76,77
38;OTXARKOAGA - BASURTU/TERMIBUS;Basurtu/Termibus - Otxarkoaga obras;7;6205;Gran Vía 41;Gran Via-G. Civil;27,48
38;OTXARKOAGA - BASURTU/TERMIBUS;Basurtu/Termibus - Otxarkoaga obras;8;6103;Alda Recalde 31;Al. Recalde-Pl. Moyua;13,27,48
38;OTXARKOAGA - BASURTU/TERMIBUS;Basurtu/Termibus - Otxarkoaga obras;9;6101;Alda Recalde 11;Al. Recalde-Puente La Salve;13,27,48
38;OTXARKOAGA - BASURTU/TERMIBUS;Basurtu/Termibus - Otxarkoaga obras;10;2403;Maurice Ravel / (Mirador);Maurice Ravel-Ciudad Jardin;13,27,48
38;OTXARKOAGA - BASURTU/TERMIBUS;Basurtu/Termibus - Otxarkoaga obras;11;2406;Maurice Ravel 7 / (Telefónica);Maurice Ravel-Telefonica;13,27,48
38;OTXARKOAGA - BASURTU/TERMIBUS;Basurtu/Termibus - Otxarkoaga obras;12;2407;Músico Guridi;;13,27,48
38;OTXARKOAGA - BASURTU/TERMIBUS;Basurtu/Termibus - Otxarkoaga obras;13;4109;Zumalacárregui 38;Zumalacarregui-Parque;03,13,30
38;OTXARKOAGA - BASURTU/TERMIBUS;Basurtu/Termibus - Otxarkoaga obras;14;4104;Begoñako Basilika;Basilica de Begoña;03,30
38;OTXARKOAGA - BASURTU/TERMIBUS;Basurtu/Termibus - Otxarkoaga obras;15;3226;Txomin Garat 4;Txomin Garat-La Tortilla;30
38;OTXARKOAGA - BASURTU/TERMIBUS;Basurtu/Termibus - Otxarkoaga obras;16;3206;Gabriel Aresti / (Anbulatorioa);Txomin Garat-Ambulatorio;
38;OTXARKOAGA - BASURTU/TERMIBUS;Basurtu/Termibus - Otxarkoaga obras;17;3207;Gabriel Aresti / Jesús Galíndez;Jesus Galindez-Gabriel Aresti;
38;OTXARKOAGA - BASURTU/TERMIBUS;Basurtu/Termibus - Otxarkoaga obras;18;3204;Dr. Ornilla / Pau Casals;Jesus Galindez-Dr. Ornilla;03,34,43
38;OTXARKOAGA - BASURTU/TERMIBUS;Basurtu/Termibus - Otxarkoaga obras;19;3109;Pau Casals 16;Pl. Kepa Enbeita-Iglesia;34,43
38;OTXARKOAGA - BASURTU/TERMIBUS;Basurtu/Termibus - Otxarkoaga obras;20;3222;Julián Gaiarre 61;Julian Gaiarre-Centro Civico;34,43
40;LA PEÑA - PLAZA BIRIBILA;Zamakola - Ayala;1;5501;Abusu / Ibaialde;Zamacola-Iglesia;50,56
40;LA PEÑA - PLAZA BIRIBILA;Zamakola - Ayala;2;5502;Abusu / Ibaieder;Zamacola-La Peña;50,56
40;LA PEÑA - PLAZA BIRIBILA;Zamakola - Ayala;3;5515;Zamacola / Eskola;Zamacola-Escuelas;56
40;LA PEÑA - PLAZA BIRIBILA;Zamakola - Ayala;4;5516;Zamacola 116;Zamacola-Campa Ibaizabal;50,56
40;LA PEÑA - PLAZA BIRIBILA;Zamakola - Ayala;5;5517;Zamacola 150 / Eliza;Zamacola-Iglesia;50,56
40;LA PEÑA - PLAZA BIRIBILA;Zamakola - Ayala;6;5523;Zamacola 188;Bolueta-Santa Ana;
40;LA PEÑA - PLAZA BIRIBILA;Zamakola - Ayala;7;4306;Camino del Pontón/(Ikastola);Zamacola-La Peña;
40;LA PEÑA - PLAZA BIRIBILA;Zamakola - Ayala;8;4308;Camino del Ponton;Zamacola-La Peña;
40;LA PEÑA - PLAZA BIRIBILA;Zamakola - Ayala;9;4310;Avda. Miraflores/(Gasolindegia);Zamacola-La Peña;
40;LA PEÑA - PLAZA BIRIBILA;Zamakola - Ayala;10;4312;Pintor Losada 26;Zabalbide-Zumalakarregi;
40;LA PEÑA - PLAZA BIRIBILA;Zamakola - Ayala;11;4201;Antonio Eguiluz 19;Iturriaga-Campa Basarrate;
40;LA PEÑA - PLAZA BIRIBILA;Zamakola - Ayala;12;4210;Santutxu (45);;
40;LA PEÑA - PLAZA BIRIBILA;Zamakola - Ayala;13;4204;Indalecio Prieto (12);Indalecio Prieto;77
40;LA PEÑA - PLAZA BIRIBILA;Zamakola - Ayala;14;4205;Indalecio Prieto 1;Indalecio Prieto;77
40;LA PEÑA - PLAZA BIRIBILA;Zamakola - Ayala;15;5404;Atxuri 49;Atxuri;77
40;LA PEÑA - PLAZA BIRIBILA;Zamakola - Ayala;16;5403;Atxuri 15;Atxuri;77
40;LA PEÑA - PLAZA BIRIBILA;Zamakola - Ayala;17;5407;Santos Juanes 7;Pl. Santos Juanes;77
40;LA PEÑA - PLAZA BIRIBILA;Zamakola - Ayala;18;5106;Ribera / Merkatua;Mercado de la Ribera;A2,11,22,56,58,72,75,77,85
40;LA PEÑA - PLAZA BIRIBILA;Zamakola - Ayala;19;5105;Puente del Arenal;Puente de el Arenal;A1,A2,A7,03,26,28,30,56,58,71,72,75,77,85
40;LA PEÑA - PLAZA BIRIBILA;Zamakola - Ayala;20;6130;Gran Vía 2;;A1,01,10
40;LA PEÑA - PLAZA BIRIBILA;Zamakola - Ayala;21;6129;Ayala(2);Gran Via-Metro Moyua;A1
40;LA PEÑA - PLAZA BIRIBILA;Ayala - Zamakola;1;6129;Ayala(2);Gran Via-Metro Moyua;A1
40;LA PEÑA - PLAZA BIRIBILA;Ayala - Zamakola;2;5103;Ernesto Erkoreka 8;Pl. Ernesto Erkoreka;A1,03,30,62
40;LA PEÑA - PLAZA BIRIBILA;Ayala - Zamakola;3;5111;Zumalacárregui / (T.Zubiria);Zumalacarregui-Grupo Panera;A1,03,30,62
40;LA PEÑA - PLAZA BIRIBILA;Ayala - Zamakola;4;5104;Párroco Ugaz / Rotonda;Zumalacarregui-Parque;A1,27,48,62
40;LA PEÑA - PLAZA BIRIBILA;Ayala - Zamakola;5;5201;Amadeo Deprit 1;Bº Dolaretxe;48
40;LA PEÑA - PLAZA BIRIBILA;Ayala - Zamakola;6;4107;Masustegi 21;Mazustegi-Begoña;48
40;LA PEÑA - PLAZA BIRIBILA;Ayala - Zamakola;7;4108;Masustegi 3;Mazustegi-Zabalbide;48
40;LA PEÑA - PLAZA BIRIBILA;Ayala - Zamakola;8;5305;Zabalbide 41;Zabalbide-Telefonica;48
40;LA PEÑA - PLAZA BIRIBILA;Ayala - Zamakola;9;4212;Santutxu 2;Santutxu-Zabalbide;48
40;LA PEÑA - PLAZA BIRIBILA;Ayala - Zamakola;10;4211;Santutxu 18;Santutxu-Carmelo;48
40;LA PEÑA - PLAZA BIRIBILA;Ayala - Zamakola;11;4213;Santutxu 48;Santutxu-Juan de la Cosa;48
40;LA PEÑA - PLAZA BIRIBILA;Ayala - Zamakola;12;4305;Sagarmínaga 32 / Eskola;Sagarminaga-Mina del Morro;
40;LA PEÑA - PLAZA BIRIBILA;Ayala - Zamakola;13;4311;Avda.Miraflores/Gasolindegia;Zamacola-La Peña;
40;LA PEÑA - PLAZA BIRIBILA;Ayala - Zamakola;14;4309;Camino del Ponton/ Avda. Miraflores;Zamacola-La Peña;
40;LA PEÑA - PLAZA BIRIBILA;Ayala - Zamakola;15;5502;Abusu / Ibaieder;Zamacola-La Peña;50,56
40;LA PEÑA - PLAZA BIRIBILA;Ayala - Zamakola;16;5501;Abusu / Ibaialde;Zamacola-Iglesia;50,56
43;GARAIZAR - SANTUTXU;Garaizar - Santutxu;1;3208;Garaizar (16);Garaizar;
43;GARAIZAR - SANTUTXU;Garaizar - Santutxu;2;3209;Garaizar / Ikastola;Garaizar;
43;GARAIZAR - SANTUTXU;Garaizar - Santutxu;3;3213;Jesús Galíndez 26;Jesus Galindez-Gabriel Aresti;
43;GARAIZAR - SANTUTXU;Garaizar - Santutxu;4;3204;Dr. Ornilla / Pau Casals;Jesus Galindez-Dr. Ornilla;03,34,38
43;GARAIZAR - SANTUTXU;Garaizar - Santutxu;5;3109;Pau Casals 16;Pl. Kepa Enbeita-Iglesia;34,38
43;GARAIZAR - SANTUTXU;Garaizar - Santutxu;6;3222;Julián Gaiarre 61;Julian Gaiarre-Centro Civico;34,38
43;GARAIZAR - SANTUTXU;Garaizar - Santutxu;7;3221;Julián Gaiarre 39 / Artalandio;Julian Gaiarre-Artalandio;34,38
43;GARAIZAR - SANTUTXU;Garaizar - Santutxu;8;3218;Julián Gaiarre 23;Julian Gaiarre-Ondarroa;34
43;GARAIZAR - SANTUTXU;Garaizar - Santutxu;9;3216;Julián Gaiarre (6);Julian Gaiarre-DYA;34
43;GARAIZAR - SANTUTXU;Garaizar - Santutxu;10;4202;Circo Amateur / Kiroldegia;Club Deportivo;13,34
43;GARAIZAR - SANTUTXU;Garaizar - Santutxu;11;4208;Iturriaga 58 / L. Briñas Eskola;Iturriaga-Colg. Luis Briñas;34,48
43;GARAIZAR - SANTUTXU;Garaizar - Santutxu;12;4203;Enrique Ibarreta 2;Mazustegi-Zabalbide;34
43;GARAIZAR - SANTUTXU;Santutxu - Garaizar;1;4203;Enrique Ibarreta 2;Mazustegi-Zabalbide;34
43;GARAIZAR - SANTUTXU;Santutxu - Garaizar;2;3202;Dr. Ornilla (12);Dr. Ornilla-Comisaria Ertzaintza;34
43;GARAIZAR - SANTUTXU;Santutxu - Garaizar;3;3203;Dr. Ornilla / Artalandio;Jesus Galindez-Dr. Ornilla;34
43;GARAIZAR - SANTUTXU;Santutxu - Garaizar;4;3215;Julián Gaiarre (39) / Artalandio;Julian Gaiarre-Artalandio;
43;GARAIZAR - SANTUTXU;Santutxu - Garaizar;5;3102;Julián Gaiarre (61);Julian Gaiarre-Artalandio;
43;GARAIZAR - SANTUTXU;Santutxu - Garaizar;6;3115;Zizeruena / Eliza;Pl. Kepa Enbeita-Iglesia;03
43;GARAIZAR - SANTUTXU;Santutxu - Garaizar;7;3114;Ugarte 2;Larratundu-Otxarkoaga;
43;GARAIZAR - SANTUTXU;Santutxu - Garaizar;8;3113;Ugarte (7);Garaizar;
43;GARAIZAR - SANTUTXU;Santutxu - Garaizar;9;3208;Garaizar (16);Garaizar;
48;SANTUTXU - LEZEAGA;Santutxu - Lezeaga arriba;1;4208;Iturriaga 58 / L. Briñas Eskola;Iturriaga-Colg. Luis Briñas;34,43
48;SANTUTXU - LEZEAGA;Santutxu - Lezeaga arriba;2;4209;Santa Klara (12);;
