CODI_CAPA,NOM_CAPA_CAT,NOM_CAPA_CAST,NOM_CAPA_ANG,COORD_X,COORD_Y,EQUIPAMENT,TELEFON,ADRECA
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428173,4579062,Aparcament Núñez y Navarro *Passeig de la Zona Franca,932230195,Pg Zona Franca. 131*139
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428190.156,4584588.684,Aparcament Bambu,934171734,C Bertran. 73*75
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428245.779,4584972.87,Aparcament Miguel de la Capilla,934172339,C Mare de Déu del Carmel. 11
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428246.291,4582646.244,Aparcament Lisor,934305056,Trav Corts. 373
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428313.191,4583721.337,Aparcament Carmen Massip Pegulla,932011479,C Plató. 11
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428317.981,4582503.662,Aparcament Jep-Car,933211002,C Loreto. 3
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428322.304,4582729.987,Hotel Meliá Barcelona Sarrià-Aparcament,934106060,C Fra Luis de Granada. 4
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428334.9,4582627.149,Aparcament Joaquín Fornes Fiol,933216838,Pl Doctor Ignasi Barraquer. 6
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428356.873,4583818.861,Aparcament Donato Moreno Gonzalez,932014007,C Tavern. 49
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428375.638,4581385.878,Aparcament Inmobiliaria Motormovil,933254750,C Rector Triadó. 96*100
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428392.164,4580568.096,Aparcament Berenguer Carol LMA CB,934315331,C Moianés. 30
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428395,4581474,Aparcament Mestre Ferre Edificios Renta,933258100,Av Roma. 2*4
